date;qty
02.02.2020;383924
03.02.2020;340434
04.02.2020;284990
05.02.2020;369513
06.02.2020;475347
07.02.2020;330817
08.02.2020;377179
09.02.2020;418755
10.02.2020;261105
11.02.2020;235198
12.02.2020;350998
13.02.2020;272184
14.02.2020;378679
15.02.2020;320730
16.02.2020;370514
17.02.2020;393586
18.02.2020;297864
19.02.2020;287918
20.02.2020;440820
21.02.2020;401175
22.02.2020;420441
23.02.2020;278192
24.02.2020;326431
25.02.2020;313258
26.02.2020;308794
27.02.2020;457732
28.02.2020;391312
29.02.2020;447869
01.03.2020;368104
02.03.2020;337572
03.03.2020;269830
04.03.2020;289228
05.03.2020;438463
06.03.2020;303476
07.03.2020;312359
08.03.2020;361061
09.03.2020;185655
10.03.2020;232352
11.03.2020;375896
12.03.2020;307408
13.03.2020;230252
14.03.2020;361286
15.03.2020;358726
16.03.2020;215981
17.03.2020;243332
18.03.2020;254908
19.03.2020;315344
20.03.2020;302898
21.03.2020;266382
22.03.2020;280206
23.03.2020;211506
24.03.2020;213346
25.03.2020;203415
26.03.2020;285115
27.03.2020;217648
28.03.2020;303666
29.03.2020;319104
30.03.2020;307243
31.03.2020;242426
01.04.2020;225557
02.04.2020;282949
03.04.2020;260271
04.04.2020;295621
05.04.2020;298234
06.04.2020;276602
07.04.2020;277276
08.04.2020;261990
09.04.2020;343937
10.04.2020;319263
11.04.2020;324142
12.04.2020;380155
13.04.2020;280225
14.04.2020;302395
15.04.2020;278975
16.04.2020;306716
17.04.2020;318404
18.04.2020;387852
19.04.2020;317756
20.04.2020;346025
21.04.2020;310085
22.04.2020;344618
23.04.2020;358541
24.04.2020;316278
25.04.2020;315691
26.04.2020;421333
27.04.2020;370218
28.04.2020;336578
29.04.2020;342818
30.04.2020;343553
01.05.2020;332442
02.05.2020;311082
03.05.2020;295934
04.05.2020;285594
05.05.2020;338759
06.05.2020;292399
07.05.2020;339299
08.05.2020;352260
09.05.2020;230213
10.05.2020;298833
11.05.2020;327931
12.05.2020;205086
13.05.2020;238481
14.05.2020;325769
15.05.2020;297292
16.05.2020;294646
17.05.2020;311812
18.05.2020;292704
19.05.2020;241114
20.05.2020;301340
21.05.2020;361181
22.05.2020;273244
23.05.2020;286429
24.05.2020;351446
25.05.2020;292379
26.05.2020;303479
27.05.2020;300293
28.05.2020;329787
29.05.2020;314255
30.05.2020;240662
31.05.2020;330506
01.06.2020;406209
02.06.2020;288222
03.06.2020;288104
04.06.2020;299241
05.06.2020;243245
06.06.2020;207574
07.06.2020;181652
08.06.2020;314775
09.06.2020;216073
10.06.2020;135611
11.06.2020;177896
12.06.2020;237546
13.06.2020;326564
14.06.2020;207417
15.06.2020;174555
16.06.2020;231661
17.06.2020;204862
18.06.2020;335298
19.06.2020;398783
20.06.2020;287363
21.06.2020;261721
22.06.2020;356320
23.06.2020;265173
24.06.2020;322503
25.06.2020;402261
26.06.2020;490172
27.06.2020;327749
28.06.2020;259505
29.06.2020;295869
30.06.2020;252154
01.07.2020;257373
02.07.2020;456316
03.07.2020;369912
04.07.2020;362074
05.07.2020;320345
06.07.2020;370741
07.07.2020;315892
08.07.2020;299385
09.07.2020;306889
10.07.2020;307851
11.07.2020;288697
12.07.2020;306747
13.07.2020;338522
14.07.2020;241219
15.07.2020;221593
16.07.2020;344073
17.07.2020;306874
18.07.2020;348333
19.07.2020;313732
20.07.2020;397343
21.07.2020;238005
22.07.2020;250442
23.07.2020;352866
24.07.2020;299138
25.07.2020;417972
26.07.2020;366312
27.07.2020;337044
28.07.2020;448016
29.07.2020;300238
30.07.2020;385510
31.07.2020;395698
01.08.2020;368713
02.08.2020;342137
03.08.2020;460680
04.08.2020;299262
05.08.2020;296895
06.08.2020;452668
07.08.2020;391158
08.08.2020;358459
09.08.2020;397008
10.08.2020;381971
11.08.2020;369605
12.08.2020;362474
13.08.2020;391415
14.08.2020;364897
15.08.2020;340976
16.08.2020;318307
17.08.2020;474759
18.08.2020;336453
19.08.2020;280186
20.08.2020;356540
21.08.2020;285916
22.08.2020;328837
23.08.2020;413916
24.08.2020;433006
25.08.2020;378822
26.08.2020;390284
27.08.2020;390749
28.08.2020;455262
29.08.2020;342034
30.08.2020;242450
31.08.2020;408912
01.09.2020;378518
02.09.2020;305409
03.09.2020;384719
04.09.2020;417010
05.09.2020;418260
06.09.2020;344760
07.09.2020;429087
08.09.2020;284265
09.09.2020;282095
10.09.2020;379636
11.09.2020;341578
12.09.2020;360727
13.09.2020;371628
14.09.2020;535698
15.09.2020;305309
16.09.2020;236369
17.09.2020;385634
18.09.2020;402358
19.09.2020;379863
20.09.2020;403447
21.09.2020;378646
22.09.2020;345859
23.09.2020;345407
24.09.2020;404148
25.09.2020;412295
26.09.2020;406874
27.09.2020;293435
28.09.2020;343285
29.09.2020;283869
30.09.2020;337026
01.10.2020;332047
02.10.2020;378122
03.10.2020;394379
04.10.2020;420914
05.10.2020;407245
06.10.2020;385179
07.10.2020;404115
08.10.2020;450297
09.10.2020;470008
10.10.2020;426472
11.10.2020;320083
12.10.2020;507243
13.10.2020;356633
14.10.2020;285725
15.10.2020;340161
16.10.2020;422107
17.10.2020;320074
18.10.2020;268389
19.10.2020;420151
20.10.2020;302903
21.10.2020;388297
22.10.2020;459026
23.10.2020;368724
24.10.2020;376664
25.10.2020;335580
26.10.2020;338193
27.10.2020;251651
28.10.2020;330914
29.10.2020;426493
30.10.2020;328758
31.10.2020;287274
01.11.2020;398647
02.11.2020;367155
03.11.2020;320362
04.11.2020;316503
05.11.2020;283214
06.11.2020;335058
07.11.2020;327631
08.11.2020;223894
09.11.2020;306459
10.11.2020;163418
11.11.2020;218698
12.11.2020;245995
13.11.2020;290100
14.11.2020;181772
15.11.2020;240936
16.11.2020;206425
17.11.2020;130970
18.11.2020;241208
19.11.2020;267003
20.11.2020;18079
21.11.2020;13038
22.11.2020;37127
23.11.2020;235980
24.11.2020;260352
25.11.2020;362319
26.11.2020;392676
27.11.2020;358929
28.11.2020;237677
29.11.2020;170627
30.11.2020;195820
01.12.2020;167437
02.12.2020;211275
03.12.2020;404053
04.12.2020;117484
05.12.2020;352244
06.12.2020;245853
07.12.2020;467986
08.12.2020;307318
09.12.2020;363392
10.12.2020;370562
11.12.2020;319859
12.12.2020;277680
13.12.2020;338251
